Instiution	Country	Region	MainOrg	Type
MiLAB	Italy	Europe	MiLAB	ACADEMIA
Ministry of Education	n/a	n/a	Ministry of Education	ACADEMIA
Mistral AI	France	Europe	Mistral AI	INDUSTRY
MIT	USA	North America	MIT	ACADEMIA
MIT BCS	United States	North America	MIT	ACADEMIA
MIT CSAIL	USA	North America	MIT	ACADEMIA
MIT Computer Science	United States	North America	MIT	ACADEMIA
Massachusetts Institute of Technology	USA	North America	MIT	ACADEMIA
Massachusetts Institute of Technology MIT	USA	North America	MIT	ACADEMIA
MMLab	China	China	MMLab	ACADEMIA
Mobvoi AI Lab	China	China	Mobvoi	INDUSTRY
Mohamed bin Zayed University of Artificial Intelligence	United Arab Emirates	Middle East	Mohamed bin Zayed University of Artificial Intelligence	ACADEMIA
Mohamed bin Zayed University of Artificial Intelligence MBZUAI	United Arab Emirates	Middle East	Mohamed bin Zayed University of Artificial Intelligence	ACADEMIA
Momenta	USA	North America	Momenta	INDUSTRY
Monash University	Australia	APAC	Monash University	ACADEMIA
Montreal Institute for Learning Algorithms	Canada	North America	Montreal Institute for Learning Algorithms	ACADEMIA
Morgridge Institute for Research	USA	North America	Morgridge Institute for Research	ACADEMIA
Moscow Institute of Physics	Russia	Europe	Moscow Institute of Physics	ACADEMIA
Mozilla Corporation	USA	North America	Mozilla Corporation	INDUSTRY
Multimedia Laboratory	Switzerland	Europe	Multimedia Laboratory	ACADEMIA
Munich Center for Machine Learning MCML	Germany	Europe	Munich Center for Machine Learning MCML	ACADEMIA
Nancy	France	Europe	Nancy	N/A
Nanjing University	China	China	Nanjing University	ACADEMIA
Nanjing University of Aeronautics	China	China	Nanjing University of Aeronautics	ACADEMIA
Nanjing University of Posts	China	China	Nanjing University of Posts	ACADEMIA
Nanyang Technological University	Singapore	APAC	Nanyang Technological University	ACADEMIA
S-Lab NTU	Singapore	APAC	Nanyang Technological University	ACADEMIA
Nara Institute of Science	Japan	APAC	Nara Institute of Science	ACADEMIA
NASA-JPL	USA	North America	NASA	ACADEMIA
National Center for AI NCAI	Pakistan	APAC	National Center for AI NCAI	ACADEMIA
National Institute of Informatics	Japan	APAC	National Institute of Informatics	ACADEMIA
National Library of Finland	Finland	Europe	National Library of Finland	ACADEMIA
NTU	Singapore	APAC	National Taiwan University	ACADEMIA
National Tsing Hua University	Taiwan	APAC	National Tsing Hua University	ACADEMIA
National University of Defense	China	China	National University of Defense	ACADEMIA
National University of Defense Technology	China	China	National University of Defense Technology	ACADEMIA
National University of Singapore	Singapore	APAC	National University of Singapore	ACADEMIA
Clova AI Research	South Korea	APAC	NAVER	INDUSTRY
NAVER Cloud	South Korea	APAC	NAVER	INDUSTRY
NAVER Cloud Summary.AI	South Korea	APAC	NAVER	INDUSTRY
NAVER Corp	South Korea	APAC	NAVER	INDUSTRY
Naver Labs Europe	France	Europe	NAVER	INDUSTRY
NAVER Corp.	South Korea	APAC	NAVER	INDUSTRY
Courant Institute	USA	North America	New York University	ACADEMIA
Courant Institute of Mathematical Sciences	USA	North America	New York University	ACADEMIA
NYU Shanghai	China	China	New York University	ACADEMIA
New York University	USA	North America	New York University	ACADEMIA
NIIDT	India	APAC	NIIDT	ACADEMIA
NiuTrans Research	China	China	NiuTrans Research	ACADEMIA
NLP Lab	USA	North America	NLP Lab	ACADEMIA
Noah’s Ark Lab	China	China	Noah’s Ark Lab	ACADEMIA
Noah’s Ark Laboratory	n/a	n/a	Noah’s Ark Laboratory	N/A
Northeastern University	USA	North America	Northeastern University	ACADEMIA
Norway	Norway	Europe	Norway	N/A
NSF	USA	North America	NSF	ACADEMIA
NTT Communication Science Laboratories	Japan	APAC	NTT	INDUSTRY
NUI Galway	Ireland	Europe	NUI Galway	ACADEMIA
NVIDIA	USA	North America	NVIDIA	INDUSTRY
NVIDIA Corporation	USA	North America	NVIDIA	INDUSTRY
NVIDIA Research	USA	North America	NVIDIA	INDUSTRY
Nvidia	USA	North America	NVIDIA	INDUSTRY
ONR	USA	North America	ONR	ACADEMIA
Open X-Embodiment Collaboration	USA	North America	Open X-Embodiment Collaboration	ACADEMIA
OpenAI	USA	North America	OpenAI	INDUSTRY
Osaka University	Japan	APAC	Osaka University	ACADEMIA
others	n/a	n/a	others	N/A
Parallel Software Lab	n/a	n/a	Parallel Software Lab	ACADEMIA
Paris	France	Europe	Paris	N/A
PKU-PsiBot Joint Lab	China	China	Peking University	ACADEMIA
Peking University	China	China	Peking University	ACADEMIA
Peng Cheng Laboratory	China	China	Peng Cheng Laboratory	ACADEMIA
Physical Intelligence	USA	North America	Physical Intelligence	INDUSTRY
21 institutions	Please provide the research institute.	n/a	Please provide the name of a specific research institution.	N/A
Politecnico di Torino	Italy	Europe	Politecnico di Torino	ACADEMIA
Poznan University of Technology	Poland	Europe	Poznan University of Technology	ACADEMIA
Prague	Czech Republic	Europe	Prague	N/A
Preferred Networks	Japan	APAC	Preferred Networks	INDUSTRY
Princeton University	USA	North America	Princeton University	ACADEMIA
Proteinea	Israel	Middle East	Proteinea	INDUSTRY
Purdue University	USA	North America	Purdue University	ACADEMIA
Reggio Emilia	Italy	Europe	Reggio Emilia	ACADEMIA
Research branch	n/a	n/a	Research branch	ACADEMIA
RIKEN AIP	Japan	APAC	RIKEN	ACADEMIA
rinna Co.	Japan	APAC	rinna Co.	INDUSTRY
Ritsumeikan University	Japan	APAC	Ritsumeikan University	ACADEMIA
Runway	USA	North America	Runway	INDUSTRY
Runway ML	USA	North America	Runway ML	INDUSTRY
RWTH Aachen University	Germany	Europe	RWTH Aachen University	ACADEMIA
S-Lab	Germany	Europe	S-Lab	ACADEMIA
MetaMind	USA	North America	Salesforce	INDUSTRY
MetaMind - A Salesforce Company	USA	North America	Salesforce	INDUSTRY
MetaMind Inc.	USA	North America	Salesforce	INDUSTRY
Salesforce AI Research	USA	North America	Salesforce	INDUSTRY
Salesforce Research	USA	North America	Salesforce	INDUSTRY
Samsung	South Korea	APAC	Samsung	INDUSTRY
Samsung Electronics Polska sp. z o.o. - Samsung R&D Institute Poland	Poland	Europe	Samsung	INDUSTRY
Samsung R&D Institute Russia	Russia	Europe	Samsung	INDUSTRY
Samsung Research	South Korea	APAC	Samsung	INDUSTRY
San Diego UCSD	USA	North America	San Diego UCSD	ACADEMIA
Saudi Data	Saudi Arabia	Middle East	Saudi Data	N/A
School of AI	n/a	n/a	School of AI	ACADEMIA
School of Computer Science	USA	North America	School of Computer Science	ACADEMIA
School of Engineering	USA	North America	School of Engineering	ACADEMIA
Science	n/a	n/a	Science	ACADEMIA
AI Authority SDAIA	Saudi Arabia	Middle East	SDAIA	INDUSTRY
CUHK-SenseTime Joint Lab	China	China	SenseTime	N/A
SIAT-SenseTime Joint Lab	China	China	SenseTime	INDUSTRY
SenseTime Research	China	China	SenseTime	INDUSTRY
SenseTime Group Limited	China	China	SenseTime	INDUSTRY
Sensifai	Iran	Middle East	Sensifai	INDUSTRY
Seoul	South Korea	APAC	Seoul	N/A
Seoul National University	South Korea	APAC	Seoul National University	ACADEMIA
ServiceNow Research	USA	North America	ServiceNow	INDUSTRY
Shandong University	China	China	Shandong University	ACADEMIA
Shanghai AI Lab	China	China	Shanghai AI Lab	ACADEMIA
Shanghai AI Laboratory	China	China	Shanghai AI Lab	ACADEMIA
Shanghai Artificial Intelligence Laboratory	China	China	Shanghai AI Lab	ACADEMIA
Shanghai Frontiers Science Center of Artificial Intelligence	China	China	Shanghai Frontiers Science Center of Artificial Intelligence	ACADEMIA
Shanghai Jiao Tong University	China	China	Shanghai Jiao Tong University	ACADEMIA
Shanghai Jiaotong University	China	China	Shanghai Jiao Tong University	ACADEMIA
Shanghai Qi Zhi	China	China	Shanghai Qi Zhi	ACADEMIA
Shanghai Qi Zhi Institute	China	China	Shanghai Qi Zhi	ACADEMIA
Shanghai University	China	China	Shanghai University	ACADEMIA
ShanghaiTech	China	China	ShanghaiTech University	ACADEMIA
ShanghaiTech University	China	China	ShanghaiTech University	ACADEMIA
Shannon.AI	USA	North America	Shannon.AI	INDUSTRY
Shenyang	China	China	Shenyang	N/A
Shenzhen	China	China	Shenzhen	ACADEMIA
Shenzhen University	China	China	Shenzhen University	ACADEMIA
Shijiazhuang University	China	China	Shijiazhuang University	ACADEMIA
Singapore	Singapore	APAC	Singapore	N/A
Smart Systems Institute	Canada	North America	Smart Systems Institute	ACADEMIA
Sony AI	Japan	APAC	Sony	INDUSTRY
Soochow University	China	China	Soochow University	ACADEMIA
